Job Title,Industry,Job Description,Technical Skills,Soft Skills,Minimum Experience,Educational Qualifications,Certifications,Tools/Technologies,Additional Comments
Business Analyst,Logistics,This is a Business Analyst role in the Logistics industry.,"Azure, Kubernetes, Excel, Power BI, AWS","Leadership, Adaptability",Senior-level (6+ years),Diploma in IT,PMP Certification,"Tableau, Keras, JIRA","This job requires proficiency in Azure, Kubernetes, Excel, Power BI, AWS."
Software Engineer,Logistics,This is a Software Engineer role in the Logistics industry.,"Azure, R, Docker, Git","Time Management, Problem-Solving, Creativity",Entry-level (0–1 years),Master's in Data Science,Certified Data Scientist,"Spark, Hadoop","This job requires proficiency in Azure, R, Docker, Git."
Data Scientist,Finance,This is a Data Scientist role in the Finance industry.,"Excel, Python, Deep Learning, Docker, Kubernetes","Problem-Solving, Communication, Time Management, Critical Thinking",Entry-level (0–1 years),Bachelor's degree in Computer Science,Certified Data Scientist,"Keras, GitHub, Hadoop, JIRA","This job requires proficiency in Excel, Python, Deep Learning, Docker, Kubernetes."
Network Engineer,Retail,This is a Network Engineer role in the Retail industry.,"AWS, Kubernetes, Power BI","Adaptability, Problem-Solving, Time Management",Mid-level (2–5 years),Diploma in IT,Azure Fundamentals,"AWS, GitHub","This job requires proficiency in AWS, Kubernetes, Power BI."
Full Stack Developer,Education,This is a Full Stack Developer role in the Education industry.,"Java, Python, Docker, SQL","Adaptability, Time Management, Critical Thinking",Senior-level (6+ years),MBA,Azure Fundamentals,"Tableau, PyTorch, PostgreSQL, Spark","This job requires proficiency in Java, Python, Docker, SQL."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"Machine Learning, Power BI, Azure, SQL","Communication, Time Management, Adaptability, Creativity",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"PyTorch, TensorFlow, Power BI, JIRA","This job requires proficiency in Machine Learning, Power BI, Azure, SQL."
Machine Learning Engineer,Logistics,This is a Machine Learning Engineer role in the Logistics industry.,"Power BI, Excel, Tableau","Teamwork, Problem-Solving, Creativity",Entry-level (0–1 years),Bachelor's degree in Computer Science,Azure Fundamentals,"JIRA, Tableau","This job requires proficiency in Power BI, Excel, Tableau."
Machine Learning Engineer,Manufacturing,This is a Machine Learning Engineer role in the Manufacturing industry.,"Tableau, SQL, Deep Learning, Python","Teamwork, Leadership, Critical Thinking, Time Management",Mid-level (2–5 years),MBA,PMP Certification,"PostgreSQL, Spark, Keras, JIRA","This job requires proficiency in Tableau, SQL, Deep Learning, Python."
Machine Learning Engineer,Education,This is a Machine Learning Engineer role in the Education industry.,"Tableau, R, Docker","Creativity, Time Management, Communication",Mid-level (2–5 years),Master's in Data Science,Scrum Master Certification,"Hadoop, PyTorch","This job requires proficiency in Tableau, R, Docker."
Business Analyst,Education,This is a Business Analyst role in the Education industry.,"Java, Python, Tableau, Kubernetes, R","Communication, Problem-Solving, Leadership, Teamwork",Entry-level (0–1 years),Diploma in IT,Certified Data Scientist,"AWS, Keras, JIRA","This job requires proficiency in Java, Python, Tableau, Kubernetes, R."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Kubernetes, AWS, Power BI","Time Management, Leadership",Mid-level (2–5 years),Master's in Data Science,PMP Certification,"GitHub, Spark, PyTorch","This job requires proficiency in Kubernetes, AWS, Power BI."
Full Stack Developer,Education,This is a Full Stack Developer role in the Education industry.,"AWS, Azure, Java","Leadership, Creativity",Mid-level (2–5 years),Bachelor's degree in Computer Science,Scrum Master Certification,"Spark, TensorFlow","This job requires proficiency in AWS, Azure, Java."
Cybersecurity Analyst,Logistics,This is a Cybersecurity Analyst role in the Logistics industry.,"AWS, Azure, Docker, Machine Learning, Power BI","Communication, Critical Thinking",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"GitHub, Keras","This job requires proficiency in AWS, Azure, Docker, Machine Learning, Power BI."
Full Stack Developer,Education,This is a Full Stack Developer role in the Education industry.,"Power BI, Machine Learning, Deep Learning","Teamwork, Problem-Solving",Entry-level (0–1 years),Master's in Data Science,Azure Fundamentals,"Spark, PyTorch, GitHub","This job requires proficiency in Power BI, Machine Learning, Deep Learning."
Network Engineer,Information Technology,This is a Network Engineer role in the Information Technology industry.,"Docker, AWS, Java","Problem-Solving, Teamwork, Critical Thinking, Adaptability",Entry-level (0–1 years),PhD in Artificial Intelligence,AWS Certified Solutions Architect,"Tableau, GitHub","This job requires proficiency in Docker, AWS, Java."
Project Manager,Healthcare,This is a Project Manager role in the Healthcare industry.,"R, Python, Deep Learning, Java, Git","Communication, Creativity, Adaptability",Mid-level (2–5 years),Diploma in IT,Azure Fundamentals,"Hadoop, PyTorch, PostgreSQL, GitHub","This job requires proficiency in R, Python, Deep Learning, Java, Git."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"R, Java, SQL","Critical Thinking, Creativity, Teamwork, Problem-Solving",Entry-level (0–1 years),Bachelor's degree in Computer Science,Certified Data Scientist,"Spark, MATLAB","This job requires proficiency in R, Java, SQL."
Business Analyst,Education,This is a Business Analyst role in the Education industry.,"Azure, Machine Learning, R, Power BI, AWS","Critical Thinking, Problem-Solving, Creativity, Communication",Entry-level (0–1 years),Diploma in IT,AWS Certified Solutions Architect,"PostgreSQL, MATLAB, JIRA, GitHub","This job requires proficiency in Azure, Machine Learning, R, Power BI, AWS."
Machine Learning Engineer,Education,This is a Machine Learning Engineer role in the Education industry.,"Deep Learning, Java, Azure","Leadership, Communication",Mid-level (2–5 years),MBA,PMP Certification,"Keras, TensorFlow, JIRA, PyTorch","This job requires proficiency in Deep Learning, Java, Azure."
Project Manager,Education,This is a Project Manager role in the Education industry.,"Machine Learning, Tableau, SQL, Java, Excel","Problem-Solving, Adaptability",Mid-level (2–5 years),MBA,Certified Data Scientist,"PostgreSQL, AWS, TensorFlow","This job requires proficiency in Machine Learning, Tableau, SQL, Java, Excel."
Full Stack Developer,Retail,This is a Full Stack Developer role in the Retail industry.,"Docker, Kubernetes, AWS, Machine Learning, Excel","Creativity, Adaptability, Problem-Solving, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,PMP Certification,"MATLAB, PostgreSQL, Power BI","This job requires proficiency in Docker, Kubernetes, AWS, Machine Learning, Excel."
Data Scientist,Finance,This is a Data Scientist role in the Finance industry.,"Azure, Deep Learning, Git, R","Problem-Solving, Creativity, Leadership, Communication",Entry-level (0–1 years),Master's in Data Science,Certified Data Scientist,"Hadoop, GitHub, JIRA, PostgreSQL","This job requires proficiency in Azure, Deep Learning, Git, R."
Business Analyst,Healthcare,This is a Business Analyst role in the Healthcare industry.,"Machine Learning, Python, Kubernetes, SQL","Problem-Solving, Creativity, Leadership, Teamwork",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"Keras, JIRA, Hadoop","This job requires proficiency in Machine Learning, Python, Kubernetes, SQL."
Network Engineer,Education,This is a Network Engineer role in the Education industry.,"AWS, Tableau, Python, R, Git","Communication, Teamwork, Creativity",Senior-level (6+ years),Diploma in IT,Scrum Master Certification,"AWS, MATLAB, GitHub","This job requires proficiency in AWS, Tableau, Python, R, Git."
AI Researcher,Marketing,This is a AI Researcher role in the Marketing industry.,"Machine Learning, AWS, Power BI","Communication, Teamwork, Problem-Solving, Creativity",Mid-level (2–5 years),Master's in Data Science,PMP Certification,"Tableau, Power BI","This job requires proficiency in Machine Learning, AWS, Power BI."
Full Stack Developer,Information Technology,This is a Full Stack Developer role in the Information Technology industry.,"SQL, R, Docker, AWS","Communication, Adaptability, Creativity, Problem-Solving",Senior-level (6+ years),Bachelor's degree in Computer Science,PMP Certification,"Tableau, AWS, Keras","This job requires proficiency in SQL, R, Docker, AWS."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"SQL, Power BI, Azure, Docker, Git","Communication, Time Management",Senior-level (6+ years),Master's in Data Science,Scrum Master Certification,"Tableau, PyTorch, PostgreSQL","This job requires proficiency in SQL, Power BI, Azure, Docker, Git."
Software Engineer,Finance,This is a Software Engineer role in the Finance industry.,"Power BI, Excel, SQL, Tableau, Azure","Critical Thinking, Creativity, Teamwork",Senior-level (6+ years),Diploma in IT,Azure Fundamentals,"Power BI, JIRA, MATLAB","This job requires proficiency in Power BI, Excel, SQL, Tableau, Azure."
Business Analyst,Manufacturing,This is a Business Analyst role in the Manufacturing industry.,"Excel, SQL, Kubernetes, Java, Git","Time Management, Creativity",Entry-level (0–1 years),Bachelor's degree in Computer Science,Azure Fundamentals,"AWS, Hadoop, Power BI","This job requires proficiency in Excel, SQL, Kubernetes, Java, Git."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"SQL, Deep Learning, Java, Machine Learning","Leadership, Time Management",Entry-level (0–1 years),Master's in Data Science,Certified Data Scientist,"GitHub, Hadoop","This job requires proficiency in SQL, Deep Learning, Java, Machine Learning."
Cybersecurity Analyst,Finance,This is a Cybersecurity Analyst role in the Finance industry.,"Python, Kubernetes, Excel","Time Management, Leadership",Senior-level (6+ years),Master's in Data Science,AWS Certified Solutions Architect,"Spark, Tableau, Keras, PostgreSQL","This job requires proficiency in Python, Kubernetes, Excel."
AI Researcher,Finance,This is a AI Researcher role in the Finance industry.,"Deep Learning, R, Docker","Critical Thinking, Adaptability, Time Management, Creativity",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"Tableau, MATLAB, GitHub, Keras","This job requires proficiency in Deep Learning, R, Docker."
Data Scientist,Retail,This is a Data Scientist role in the Retail industry.,"Excel, Azure, R, Git, SQL","Critical Thinking, Adaptability, Teamwork",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"PyTorch, Hadoop","This job requires proficiency in Excel, Azure, R, Git, SQL."
AI Researcher,Retail,This is a AI Researcher role in the Retail industry.,"Kubernetes, Docker, Git, R","Critical Thinking, Time Management, Creativity",Senior-level (6+ years),PhD in Artificial Intelligence,PMP Certification,"Spark, Tableau","This job requires proficiency in Kubernetes, Docker, Git, R."
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"R, Python, Tableau, Power BI","Time Management, Creativity, Communication, Adaptability",Senior-level (6+ years),Master's in Data Science,AWS Certified Solutions Architect,"MATLAB, TensorFlow, PostgreSQL","This job requires proficiency in R, Python, Tableau, Power BI."
Full Stack Developer,Finance,This is a Full Stack Developer role in the Finance industry.,"Java, Docker, Machine Learning","Teamwork, Time Management, Adaptability",Entry-level (0–1 years),Master's in Data Science,Certified Data Scientist,"GitHub, Hadoop, Keras, Spark","This job requires proficiency in Java, Docker, Machine Learning."
Business Analyst,Finance,This is a Business Analyst role in the Finance industry.,"SQL, Java, Azure, Machine Learning, Python","Leadership, Adaptability, Problem-Solving, Time Management",Entry-level (0–1 years),MBA,AWS Certified Solutions Architect,"MATLAB, PyTorch, AWS","This job requires proficiency in SQL, Java, Azure, Machine Learning, Python."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"Deep Learning, Git, Excel","Critical Thinking, Creativity, Teamwork",Mid-level (2–5 years),Master's in Data Science,AWS Certified Solutions Architect,"GitHub, PyTorch, TensorFlow","This job requires proficiency in Deep Learning, Git, Excel."
Project Manager,Information Technology,This is a Project Manager role in the Information Technology industry.,"Machine Learning, Azure, Tableau, Power BI, Kubernetes","Leadership, Critical Thinking, Problem-Solving, Teamwork",Mid-level (2–5 years),Diploma in IT,Scrum Master Certification,"Spark, PyTorch","This job requires proficiency in Machine Learning, Azure, Tableau, Power BI, Kubernetes."
Database Administrator,Information Technology,This is a Database Administrator role in the Information Technology industry.,"Kubernetes, Deep Learning, Machine Learning, R","Leadership, Critical Thinking, Problem-Solving",Mid-level (2–5 years),PhD in Artificial Intelligence,PMP Certification,"JIRA, Tableau, PostgreSQL, Power BI","This job requires proficiency in Kubernetes, Deep Learning, Machine Learning, R."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"Tableau, Java, Deep Learning, Git, Azure","Adaptability, Problem-Solving, Communication",Entry-level (0–1 years),Diploma in IT,Azure Fundamentals,"JIRA, PyTorch, Power BI","This job requires proficiency in Tableau, Java, Deep Learning, Git, Azure."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"SQL, Deep Learning, Kubernetes","Leadership, Teamwork",Senior-level (6+ years),Master's in Data Science,Scrum Master Certification,"Power BI, PyTorch","This job requires proficiency in SQL, Deep Learning, Kubernetes."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"Java, Docker, R, Machine Learning, Git","Creativity, Communication, Time Management",Senior-level (6+ years),MBA,Certified Data Scientist,"Power BI, AWS","This job requires proficiency in Java, Docker, R, Machine Learning, Git."
Machine Learning Engineer,Marketing,This is a Machine Learning Engineer role in the Marketing industry.,"AWS, Java, Docker","Teamwork, Adaptability, Problem-Solving, Critical Thinking",Mid-level (2–5 years),PhD in Artificial Intelligence,Certified Data Scientist,"Power BI, TensorFlow, PyTorch","This job requires proficiency in AWS, Java, Docker."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"Tableau, Deep Learning, SQL, Docker","Teamwork, Leadership",Entry-level (0–1 years),Master's in Data Science,PMP Certification,"TensorFlow, AWS, Tableau, Spark","This job requires proficiency in Tableau, Deep Learning, SQL, Docker."
Cybersecurity Analyst,Retail,This is a Cybersecurity Analyst role in the Retail industry.,"Machine Learning, Power BI, Git, Python, Azure","Adaptability, Communication, Leadership",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"Keras, Tableau","This job requires proficiency in Machine Learning, Power BI, Git, Python, Azure."
Software Engineer,Marketing,This is a Software Engineer role in the Marketing industry.,"Excel, AWS, Power BI, Python","Leadership, Adaptability, Problem-Solving, Teamwork",Entry-level (0–1 years),Diploma in IT,Certified Data Scientist,"GitHub, Hadoop, MATLAB, Power BI","This job requires proficiency in Excel, AWS, Power BI, Python."
Database Administrator,Manufacturing,This is a Database Administrator role in the Manufacturing industry.,"Deep Learning, R, Excel, SQL","Adaptability, Critical Thinking",Mid-level (2–5 years),PhD in Artificial Intelligence,AWS Certified Solutions Architect,"GitHub, Power BI, JIRA, Hadoop","This job requires proficiency in Deep Learning, R, Excel, SQL."
Cybersecurity Analyst,Finance,This is a Cybersecurity Analyst role in the Finance industry.,"Tableau, Docker, Azure, Deep Learning","Leadership, Communication, Problem-Solving",Entry-level (0–1 years),Diploma in IT,Scrum Master Certification,"PostgreSQL, Spark","This job requires proficiency in Tableau, Docker, Azure, Deep Learning."
Database Administrator,Manufacturing,This is a Database Administrator role in the Manufacturing industry.,"AWS, Deep Learning, Machine Learning, Python","Critical Thinking, Time Management, Leadership, Problem-Solving",Senior-level (6+ years),Master's in Data Science,Azure Fundamentals,"PyTorch, AWS, PostgreSQL, JIRA","This job requires proficiency in AWS, Deep Learning, Machine Learning, Python."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"Tableau, Docker, Deep Learning","Problem-Solving, Creativity",Senior-level (6+ years),Diploma in IT,Certified Data Scientist,"AWS, Hadoop","This job requires proficiency in Tableau, Docker, Deep Learning."
Project Manager,Manufacturing,This is a Project Manager role in the Manufacturing industry.,"Deep Learning, AWS, Kubernetes, Java, Machine Learning","Communication, Time Management, Teamwork",Mid-level (2–5 years),MBA,Scrum Master Certification,"Power BI, PostgreSQL, GitHub","This job requires proficiency in Deep Learning, AWS, Kubernetes, Java, Machine Learning."
Business Analyst,Retail,This is a Business Analyst role in the Retail industry.,"Power BI, R, SQL","Communication, Problem-Solving, Critical Thinking",Entry-level (0–1 years),Bachelor's degree in Computer Science,PMP Certification,"Power BI, Hadoop, JIRA","This job requires proficiency in Power BI, R, SQL."
Full Stack Developer,Logistics,This is a Full Stack Developer role in the Logistics industry.,"AWS, Tableau, Python, Java, Deep Learning","Teamwork, Adaptability, Problem-Solving",Entry-level (0–1 years),PhD in Artificial Intelligence,AWS Certified Solutions Architect,"PyTorch, Tableau","This job requires proficiency in AWS, Tableau, Python, Java, Deep Learning."
Project Manager,Information Technology,This is a Project Manager role in the Information Technology industry.,"Tableau, Python, Excel, R","Communication, Leadership, Creativity, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"MATLAB, GitHub, TensorFlow, AWS","This job requires proficiency in Tableau, Python, Excel, R."
Machine Learning Engineer,Finance,This is a Machine Learning Engineer role in the Finance industry.,"Deep Learning, Excel, Azure, Kubernetes, R","Critical Thinking, Communication",Senior-level (6+ years),Master's in Data Science,PMP Certification,"Power BI, PostgreSQL","This job requires proficiency in Deep Learning, Excel, Azure, Kubernetes, R."
Database Administrator,Education,This is a Database Administrator role in the Education industry.,"Tableau, Git, AWS, Kubernetes, Deep Learning","Adaptability, Creativity, Time Management, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,Scrum Master Certification,"Power BI, TensorFlow, MATLAB, Tableau","This job requires proficiency in Tableau, Git, AWS, Kubernetes, Deep Learning."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"Java, Docker, SQL, Python, AWS","Critical Thinking, Time Management, Problem-Solving",Entry-level (0–1 years),Master's in Data Science,Scrum Master Certification,"Spark, Power BI, PyTorch, PostgreSQL","This job requires proficiency in Java, Docker, SQL, Python, AWS."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"Git, Deep Learning, AWS, Azure","Critical Thinking, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,Azure Fundamentals,"AWS, MATLAB, GitHub","This job requires proficiency in Git, Deep Learning, AWS, Azure."
AI Researcher,Information Technology,This is a AI Researcher role in the Information Technology industry.,"SQL, Deep Learning, Tableau, Power BI, Excel","Time Management, Leadership",Senior-level (6+ years),PhD in Artificial Intelligence,Azure Fundamentals,"Spark, TensorFlow, Tableau","This job requires proficiency in SQL, Deep Learning, Tableau, Power BI, Excel."
Software Engineer,Information Technology,This is a Software Engineer role in the Information Technology industry.,"Tableau, Git, Python","Communication, Teamwork, Creativity",Entry-level (0–1 years),MBA,Azure Fundamentals,"JIRA, Power BI, PyTorch","This job requires proficiency in Tableau, Git, Python."
Business Analyst,Marketing,This is a Business Analyst role in the Marketing industry.,"Git, Machine Learning, Java, AWS","Teamwork, Critical Thinking, Time Management, Leadership",Entry-level (0–1 years),Diploma in IT,AWS Certified Solutions Architect,"Spark, PyTorch, MATLAB","This job requires proficiency in Git, Machine Learning, Java, AWS."
Cybersecurity Analyst,Logistics,This is a Cybersecurity Analyst role in the Logistics industry.,"Machine Learning, AWS, R, Deep Learning, Java","Adaptability, Time Management, Problem-Solving",Mid-level (2–5 years),PhD in Artificial Intelligence,PMP Certification,"JIRA, MATLAB, Keras","This job requires proficiency in Machine Learning, AWS, R, Deep Learning, Java."
Cybersecurity Analyst,Retail,This is a Cybersecurity Analyst role in the Retail industry.,"Excel, Kubernetes, SQL, Azure","Adaptability, Problem-Solving, Teamwork, Leadership",Entry-level (0–1 years),Diploma in IT,PMP Certification,"Power BI, PostgreSQL","This job requires proficiency in Excel, Kubernetes, SQL, Azure."
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"Java, Deep Learning, Machine Learning, Excel","Leadership, Time Management, Communication",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"PyTorch, Hadoop, Spark","This job requires proficiency in Java, Deep Learning, Machine Learning, Excel."
Business Analyst,Healthcare,This is a Business Analyst role in the Healthcare industry.,"Tableau, Kubernetes, Git","Time Management, Critical Thinking",Mid-level (2–5 years),MBA,AWS Certified Solutions Architect,"Hadoop, MATLAB, Keras, PyTorch","This job requires proficiency in Tableau, Kubernetes, Git."
AI Researcher,Education,This is a AI Researcher role in the Education industry.,"Git, Power BI, Machine Learning, Java","Leadership, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"GitHub, TensorFlow, Tableau, Power BI","This job requires proficiency in Git, Power BI, Machine Learning, Java."
Database Administrator,Marketing,This is a Database Administrator role in the Marketing industry.,"AWS, Power BI, Deep Learning, Tableau, Python","Leadership, Creativity, Teamwork, Critical Thinking",Senior-level (6+ years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"JIRA, Hadoop","This job requires proficiency in AWS, Power BI, Deep Learning, Tableau, Python."
Network Engineer,Finance,This is a Network Engineer role in the Finance industry.,"Java, Deep Learning, SQL, Git","Communication, Leadership, Creativity",Senior-level (6+ years),MBA,PMP Certification,"Hadoop, GitHub","This job requires proficiency in Java, Deep Learning, SQL, Git."
Database Administrator,Information Technology,This is a Database Administrator role in the Information Technology industry.,"Python, Machine Learning, Tableau, Deep Learning, Excel","Leadership, Time Management, Adaptability, Communication",Senior-level (6+ years),PhD in Artificial Intelligence,PMP Certification,"PyTorch, Tableau, AWS","This job requires proficiency in Python, Machine Learning, Tableau, Deep Learning, Excel."
Cybersecurity Analyst,Information Technology,This is a Cybersecurity Analyst role in the Information Technology industry.,"AWS, Docker, Tableau, Excel","Creativity, Problem-Solving",Entry-level (0–1 years),Diploma in IT,AWS Certified Solutions Architect,"GitHub, Hadoop, PostgreSQL","This job requires proficiency in AWS, Docker, Tableau, Excel."
Network Engineer,Manufacturing,This is a Network Engineer role in the Manufacturing industry.,"Deep Learning, Docker, Kubernetes","Time Management, Adaptability, Communication, Critical Thinking",Mid-level (2–5 years),Bachelor's degree in Computer Science,AWS Certified Solutions Architect,"JIRA, GitHub, Keras","This job requires proficiency in Deep Learning, Docker, Kubernetes."
Business Analyst,Finance,This is a Business Analyst role in the Finance industry.,"Azure, Power BI, Docker, Tableau","Time Management, Adaptability",Entry-level (0–1 years),Diploma in IT,PMP Certification,"PostgreSQL, JIRA, Tableau","This job requires proficiency in Azure, Power BI, Docker, Tableau."
AI Researcher,Healthcare,This is a AI Researcher role in the Healthcare industry.,"Azure, SQL, R, Deep Learning, Machine Learning","Problem-Solving, Communication",Senior-level (6+ years),MBA,PMP Certification,"PyTorch, TensorFlow, Keras","This job requires proficiency in Azure, SQL, R, Deep Learning, Machine Learning."
Network Engineer,Logistics,This is a Network Engineer role in the Logistics industry.,"Docker, Kubernetes, Java, Tableau, Deep Learning","Critical Thinking, Problem-Solving, Time Management, Adaptability",Entry-level (0–1 years),MBA,Azure Fundamentals,"AWS, Hadoop, Tableau, GitHub","This job requires proficiency in Docker, Kubernetes, Java, Tableau, Deep Learning."
Data Scientist,Information Technology,This is a Data Scientist role in the Information Technology industry.,"Power BI, Kubernetes, Deep Learning, Python","Creativity, Communication",Senior-level (6+ years),Bachelor's degree in Computer Science,Azure Fundamentals,"PyTorch, JIRA","This job requires proficiency in Power BI, Kubernetes, Deep Learning, Python."
Network Engineer,Finance,This is a Network Engineer role in the Finance industry.,"Git, AWS, Docker, Tableau, Machine Learning","Problem-Solving, Creativity",Senior-level (6+ years),Bachelor's degree in Computer Science,Azure Fundamentals,"GitHub, Hadoop, MATLAB","This job requires proficiency in Git, AWS, Docker, Tableau, Machine Learning."
